first,second,third,forth,Class
861,897,961,1022,0
855,906,966,1022,0
849,910,968,1022,0
844,913,970,1023,0
842,915,972,1022,0
843,917,973,1023,0
846,918,974,1022,0
849,919,974,1022,0
852,919,975,1022,0
853,920,975,1022,0
854,921,976,1022,0
855,921,976,1022,0
856,922,976,1021,0
859,922,976,1021,0
863,923,976,1022,0
866,923,977,1022,0
869,924,978,1023,0
873,924,978,1022,0
875,925,978,1022,0
877,924,978,1022,0
878,925,978,1022,0
880,926,979,1021,0
880,925,979,1022,0
881,925,979,1022,0
881,925,979,1022,0
881,926,980,1022,0
879,926,981,1021,0
878,925,980,1023,0
878,926,980,1022,0
877,926,980,1022,0
877,926,981,1022,0
877,925,981,1022,0
878,926,980,1022,0
878,926,980,1022,0
877,926,980,1022,0
878,927,980,1022,0
878,926,981,1022,0
880,926,980,1021,0
880,927,981,1022,0
879,927,982,1022,0
880,926,981,1022,0
880,927,981,1022,0
878,926,980,1022,0
878,926,980,1022,0
878,926,980,1022,0
878,927,980,1021,0
878,926,981,1022,0
878,926,981,1022,0
878,926,980,1022,0
877,925,980,1022,0
875,926,980,1022,0
873,926,980,1022,0
870,927,979,1022,0
869,925,978,1022,0
859,925,978,1022,0
852,925,978,1021,0
852,925,977,1022,0
854,925,978,1022,0
857,925,978,1021,0
859,926,979,1021,0
861,926,978,1022,0
864,926,978,1022,0
865,925,979,1022,0
867,926,979,1022,0
869,925,979,1022,0
870,926,978,1021,0
869,926,979,1021,0
869,926,978,1022,0
869,925,979,1022,0
869,926,979,1022,0
869,925,979,1022,0
870,926,979,1021,0
871,926,979,1021,0
872,925,979,1022,0
872,925,979,1021,0
872,926,979,1022,0
872,925,979,1022,0
873,925,979,1022,0
872,926,979,1022,0
873,925,980,1021,0
873,926,979,1022,0
873,925,980,1022,0
873,925,979,1022,0
873,925,980,1021,0
873,925,980,1022,0
873,925,980,1022,0
872,925,980,1022,0
873,925,980,1022,0
874,926,980,1022,0
875,925,980,1022,0
874,926,980,1022,0
872,925,980,1022,0
870,925,979,1022,0
868,925,980,1022,0
865,925,979,1022,0
864,924,980,1022,0
865,925,980,1022,0
866,924,980,1022,0
866,925,979,1022,0
866,924,979,1021,0
868,924,980,1022,0
870,924,980,1022,0
871,925,980,1022,0
872,924,980,1021,0
873,925,981,1022,0
876,925,980,1022,0
875,924,980,1021,0
874,925,980,1021,0
874,924,979,1021,0
875,923,980,1022,0
879,924,981,1021,0
881,924,981,1022,0
881,924,981,1022,0
878,924,980,1021,0
873,923,980,1021,0
870,923,979,1022,0
869,923,980,1021,0
872,924,980,1021,0
871,924,980,1022,0
870,923,980,1021,0
869,923,980,1021,0
869,923,980,1022,0
871,923,979,1021,0
870,923,979,1022,0
867,924,979,1022,0
866,923,980,1022,0
864,923,979,1022,0
862,923,980,1022,0
860,922,979,1022,0
859,923,978,1022,0
861,922,979,1021,0
861,923,978,1021,0
860,923,978,1022,0
860,922,979,1021,0
